date,births,deaths,rebalance,n_comm,r_comm,r_eq,r_full,cum_comm,cum_eq,cum_full,act_vs_eq,act_vs_full
2023-04-05,[],[74],[74],15,0.025801415680154566,0.013127038532797963,0.010334427552409126,1.4082677170998954,1.3972628584791669,1.0195364623634933,0.01100485862072853,0.38873125473640213
2023-05-05,[97],[],[97],16,0.02399562898616783,0.02285355522383669,0.044394432749211094,1.4660556157387896,1.452048837601473,1.1091926380264692,0.014006778137316545,0.35686297771232045
2023-06-06,[98],[],[98],17,0.027585239333624507,0.036005565747429365,0.024467567593604765,1.5340823501089726,1.5403362432396408,1.1607994514653153,-0.006253893130668153,0.3732828986436574
2023-07-07,[],[95],[95],16,0.03715966926882097,0.02400951471259362,0.030832596888071835,1.6282480121389789,1.601328483646638,1.2274225099083123,0.026919528492340916,0.4008255022306666
2023-08-07,"[99, 100]",[],"[99, 100]",18,-0.018807775386230623,-0.03754646244526062,-0.030339707187853143,1.5788165138673618,1.5036578014276127,1.1598431631740609,0.07515871243974903,0.4189733506933009
2023-09-06,[],[],[],18,-0.09696391344447507,-0.06937967183842679,-0.08601757361020637,1.328764372627544,1.329954844768848,0.9740586948992351,-0.0011904721413040775,0.35470567772830885
2023-10-05,"[101, 102, 103]",[85],"[101, 102, 103]",20,0.04775771761419291,0.012500156961818696,0.03136701150513624,1.4399808439254835,1.3590796460424084,1.035979016693954,0.08090119788307515,0.40400182723152955
2023-11-03,"[104, 105, 106]",[],"[104, 105, 106]",23,0.10049900256141076,0.044347631168456456,0.07025520800155777,1.685196485008944,1.4636992400821103,1.1790171459985945,0.22149724492683376,0.5061793390103495
2023-12-05,[107],[],[107],24,0.06859813362675082,0.04835070718628583,0.059831229895654967,1.869395952301669,1.5828208406343953,1.3093904218074104,0.2865751116672737,0.5600055304942586
2024-01-05,[],[80],[80],23,0.10121394063629337,0.026427394962148545,0.0893268582960533,2.1598188238799505,1.651078067106309,1.5156810127664637,0.5087407567736415,0.6441378111134868
2024-02-06,[],[99],[99],22,0.04768141123480092,0.028628555558958314,0.10856688213580033,2.3104834446488356,1.7269746028415978,1.7888006567707513,0.5835088418072378,0.5216827878780843
2024-03-07,[],[97],[97],21,0.005521345308169734,0.018162189288715623,0.0031667784762370046,2.328761766883721,1.776502431763927,1.7976321706651288,0.552259335119794,0.5311295962185922
2024-04-08,[108],"[88, 6]",[108],20,-0.02470053533097564,-0.013304609815326413,-0.018094354443489936,2.246539569252409,1.7395621502580032,1.7470108225666037,0.5069774189944058,0.4995287466858054
2024-05-07,[109],"[105, 89]",[109],19,0.008940314755649449,0.009715139766593842,0.035797642942955066,2.2755646548681963,1.7661773794470297,1.845347335153276,0.5093872754211666,0.43021731971492017
2024-06-06,[110],[90],[110],19,0.005027310944582433,-0.0037382669293844015,0.05167489549566191,2.2920319369073026,1.7558366700286316,1.9923803613461817,0.5361952668786709,0.2996515755611209
2024-07-09,"[111, 112]",[107],"[111, 112]",20,-0.10231555861878205,-0.027250321431418773,-0.1249262602102156,1.9552058502917609,1.6807392349578607,1.6185534736767098,0.27446661533390015,0.3366523766150511
2024-08-07,[113],[],[113],21,0.064375563152306,0.047300083620226044,0.057585243057155046,2.145448891135282,1.8075384249353883,1.7693435119165408,0.33791046619989373,0.3761053792187412
2024-09-06,[114],[100],[114],21,-0.004809863340094108,0.025198971722387355,0.040774841257806005,2.1303197118256705,1.878285506314851,1.8822630540032725,0.25203420551081956,0.24805665782239794
2024-10-07,[115],[84],[115],21,0.03228089713922619,0.02259601541972609,0.025045217004521572,2.231369240456007,1.943323289997915,1.9544499576548997,0.2880459504580921,0.27691928280110734
2024-11-05,[116],"[56, 104]",[116],20,0.04729250707876452,0.039504526106434415,0.11641152341565365,2.384188793134374,2.059597881747314,2.2983819780808203,0.3245909113870602,0.08580681505355381
2024-12-05,"[117, 118]",[],"[117, 118]",22,-0.029234888711964946,-0.03150919979641188,-0.0455534354590887,2.285252410386812,1.9631924007946595,2.1481293475228944,0.3220600095921524,0.1371230628639175
